"","x"
"1415","SLC30A8"
"1416",NA
"1417","LYVE1"
"1418","PCDH18"
"1419","PCDH1"
"1420","PCDH7"
"1421","TRDN"
"1422","LRIT3"
"1423","CMTM5"
"1424","MGAM"
"1425","FAM184B"
"1426",NA
"1427","ASS1P5"
"1428","TMSB4Y"
"1429","SLC52A3"
"1430",NA
"1431","TMPRSS4"
"1432",NA
"1433","JAM2"
"1434","USHBP1"
"1435","AZGP1P1"
"1436","MRPS6"
"1437","ARMH4"
"1438",NA
"1439","EGR3"
"1440","LINC01616"
"1441",NA
"1442","FBXO40"
"1443","PLCZ1"
"1444","RAP1GAP"
"1445","NCCRP1"
"1446",NA
"1447","COL14A1"
"1448",NA
"1449",NA
"1450",NA
"1451","CXCL12"
"1452","SNCAIP"
"1453",NA
"1454",NA
"1455","TMEM200C"
"1456",NA
"1457","LOC101929420"
"1458",NA
"1459",NA
"1460","APOM"
"1461","EGR4"
"1462","CTNNA3"
"1463","SLC45A1"
"1464","CYYR1"
"1465",NA
"1466",NA
"1467",NA
"1468",NA
"1469","FAM110D"
"1470","SFTPB"
"1471",NA
"1472","TREH"
"1473","FOXE3"
"1474",NA
"1475","NR3C2"
"1476",NA
"1477","OLFM4"
"1478","OTC"
"1479","MYOZ1"
"1480","OLIG1"
"1481","ST8SIA5"
"1482","LINC00310"
"1483","TMEM72-AS1"
"1484","ST6GAL1"
"1485",NA
"1486",NA
"1487",NA
"1488","IL11"
"1489",NA
"1490","LRRTM3"
"1491","SLC22A6"
"1492",NA
"1493","RAPGEF4"
"1494","C10orf55"
